idx,predictions,probabilities
1966,0,0.9366666666666666
1979,0,0.8
1982,0,0.89
1987,1,0.6166666666666667
1997,0,0.79
2004,0,0.9633333333333334
2011,1,0.65
2015,1,0.5666666666666667
2025,0,0.9266666666666666
2033,0,0.59
2034,0,0.9633333333333334
2035,0,0.71
2036,1,0.6966666666666667
2053,1,0.6333333333333333
2059,1,0.7466666666666667
2060,0,0.92
2073,0,0.6366666666666667
2084,1,0.52
2089,0,0.9033333333333333
2092,0,0.7233333333333334
2109,0,0.6566666666666666
2129,1,0.5533333333333333
2134,0,0.5533333333333333
2135,0,0.9433333333333334
2148,0,0.9633333333333334
2149,0,0.9333333333333333
2150,0,0.6233333333333333
2165,1,0.75
2166,0,0.9433333333333334
2168,0,0.92
2170,0,0.6666666666666666
2171,0,0.7866666666666666
2172,0,0.9766666666666667
2176,0,0.6933333333333334
2182,0,0.86
2189,0,0.72
2191,0,0.8066666666666666
2197,0,0.88
2202,0,0.76
2203,0,0.7966666666666666
2204,1,0.5933333333333334
2206,1,0.73
2218,0,0.79
2219,0,0.6333333333333333
2221,0,0.7266666666666667
2226,0,0.8533333333333334
2228,0,0.62
2232,0,0.61
2236,0,0.75
2241,1,0.8366666666666667
2245,0,0.95
2251,1,0.5466666666666666
2255,0,0.9366666666666666
2256,0,0.9833333333333333
2259,0,0.9366666666666666
2263,1,0.5166666666666667
2264,0,0.89
2267,0,0.9
2273,1,0.78
2277,1,0.5666666666666667
2287,0,0.77
2289,0,0.6933333333333334
2291,0,0.7666666666666667
2296,1,0.8266666666666667
2299,0,0.9
2306,0,0.9666666666666667
2314,0,0.7733333333333333
2317,0,0.7733333333333333
2318,1,0.5733333333333334
2321,1,0.8466666666666667
2324,0,0.7233333333333334
2340,0,0.6333333333333333
2343,0,0.9333333333333333
2349,0,0.75
2352,0,0.8333333333333334
2353,0,0.64
2365,1,0.8366666666666667
2370,1,0.7333333333333333
2378,0,0.7266666666666667
2390,1,0.65
2399,0,0.7833333333333333
2402,1,0.7733333333333333
2403,1,0.6133333333333333
2404,0,0.7833333333333333
2414,0,0.6733333333333333
2422,0,0.7066666666666667
2424,0,0.7566666666666667
2430,1,0.5166666666666667
2435,0,0.5333333333333333
2439,0,0.91
2442,0,0.5166666666666667
2445,1,0.51
2449,0,0.7
2451,0,0.57
2461,1,0.6966666666666667
2464,0,0.7066666666666667
2465,0,0.5
2472,0,0.84
2476,1,0.6
2482,0,0.8
2487,0,0.7566666666666667
2498,0,0.75
2501,0,0.9366666666666666
2504,0,0.6
2511,0,0.68
2518,0,0.8466666666666667
2521,0,0.7533333333333333
2530,0,0.8833333333333333
2543,1,0.6
2545,0,0.5433333333333333
2561,0,0.5133333333333333
2566,1,0.5566666666666666
2572,0,0.6233333333333333
2577,0,0.76
2578,0,0.85
2580,0,0.6333333333333333
2581,0,0.68
2582,0,0.8666666666666667
2584,0,0.9666666666666667
2590,0,0.96
2598,0,0.9533333333333334
2602,0,0.7633333333333333
2605,0,0.73
2616,0,0.6066666666666667
2618,0,0.7666666666666667
2619,0,0.6366666666666667
2624,0,0.9466666666666667
2632,0,0.9
2640,0,0.7
2646,0,0.96
2651,0,0.8533333333333334
2660,0,0.96
2661,0,0.9333333333333333
2668,0,0.9166666666666666
2670,0,0.6233333333333333
2680,1,0.66
2681,0,0.9033333333333333
2689,1,0.62
2694,0,0.95
2695,1,0.81
2696,1,0.54
2702,0,0.6166666666666667
2704,0,0.69
2708,0,0.96
2709,0,0.9366666666666666
2714,1,0.5666666666666667
2716,0,0.8233333333333334
2723,0,0.9333333333333333
2725,1,0.5466666666666666
2738,0,0.9133333333333333
2750,1,0.5366666666666666
2756,0,0.52
2758,0,0.8566666666666667
2766,0,0.59
2767,0,0.59
2771,0,0.5833333333333334
2775,0,0.6566666666666666
2776,0,0.76
2779,1,0.7433333333333333
2780,0,0.6933333333333334
2781,0,0.6433333333333333
2782,1,0.5966666666666667
2783,0,0.6766666666666666
2796,1,0.5133333333333333
2798,0,0.6566666666666666
2800,0,0.8433333333333334
2803,0,0.8466666666666667
2806,0,0.9933333333333333
2813,0,0.8533333333333334
2818,0,0.6633333333333333
2821,1,0.5933333333333334
2825,0,0.6333333333333333
2829,0,0.8033333333333333
2830,1,0.71
2833,0,0.8533333333333334
2839,1,0.6233333333333333
2843,0,0.8466666666666667
2846,0,0.8866666666666667
2847,0,0.8633333333333333
2848,0,0.8633333333333333
2856,1,0.7533333333333333
2863,0,0.7433333333333333
2867,0,0.6733333333333333
2869,0,0.71
2873,0,0.9766666666666667
2874,1,0.6333333333333333
2875,1,0.6033333333333334
2880,1,0.7133333333333334
2886,1,0.61
2887,0,0.52
2888,0,0.76
2889,1,0.6833333333333333
2890,1,0.56
2892,0,0.74
2901,0,0.5933333333333334
2902,0,0.8566666666666667
2905,0,0.6566666666666666
2917,0,0.5133333333333333
2922,1,0.72
2924,0,0.86
2930,0,0.65
2931,0,0.8633333333333333
2946,0,0.8066666666666666
2955,0,0.58
2962,0,0.9733333333333334
2964,0,0.95
2965,1,0.5833333333333334
2967,0,0.9066666666666666
2970,0,0.88
2973,1,0.6066666666666667
2974,0,0.74
2976,1,0.7733333333333333
2977,0,0.6333333333333333
2978,0,0.61
2986,0,0.85
2988,0,0.57
2989,0,0.76
2995,1,0.82
3005,1,0.7466666666666667
3011,0,0.8233333333333334
3013,0,0.9066666666666666
3019,1,0.5233333333333333
3021,0,0.8766666666666667
3022,0,0.5033333333333333
3029,0,0.9033333333333333
3037,0,0.7133333333333334
3042,0,0.6366666666666667
3043,0,0.8233333333333334
3049,0,0.8366666666666667
3050,1,0.7
3053,0,0.6433333333333333
3058,1,0.5033333333333333
3062,0,0.6133333333333333
3063,0,0.5633333333333334
3065,0,0.8666666666666667
3080,0,0.9066666666666666
3088,0,0.67
3093,0,0.5
3096,0,0.55
3101,0,0.64
3103,0,0.5866666666666667
3107,0,0.7433333333333333
3109,0,0.89
3111,0,0.7166666666666667
3113,1,0.6433333333333333
3116,0,0.9733333333333334
3132,0,0.64
3141,0,0.8866666666666667
3153,0,0.5766666666666667
3154,0,0.8166666666666667
3160,0,0.83
3167,0,0.93
3170,0,0.5933333333333334
3173,1,0.65
3174,0,0.5533333333333333
3177,0,0.8166666666666667
3179,0,0.6066666666666667
3184,0,0.55
3190,1,0.5033333333333333
3193,0,0.8566666666666667
3199,0,0.5266666666666666
3201,0,0.8566666666666667
3202,0,0.7666666666666667
3203,1,0.67
3206,1,0.7133333333333334
3209,0,0.9766666666666667
3210,1,0.5866666666666667
3217,0,0.6566666666666666
3220,0,0.8633333333333333
3228,0,0.5633333333333334
3232,0,0.9733333333333334
3239,0,0.7433333333333333
3243,0,0.71
3245,0,0.86
3246,1,0.6333333333333333
3251,0,0.9733333333333334
3253,0,0.5366666666666666
3257,0,0.91
3260,0,0.94
3261,0,0.6533333333333333
3263,0,0.64
3278,0,0.8566666666666667
3281,0,0.6766666666666666
3283,0,0.7333333333333333
3290,0,0.9233333333333333
3297,1,0.57
3304,0,0.96
3305,0,0.5366666666666666
3307,0,0.8666666666666667
3308,0,0.7166666666666667
3313,0,0.6866666666666666
3314,0,0.71
3317,0,0.6633333333333333
3348,0,0.8566666666666667
3350,0,0.5733333333333334
3359,0,0.7433333333333333
3367,0,0.9733333333333334
3376,0,0.85
3378,0,0.6866666666666666
3384,1,0.5966666666666667
3386,0,0.8366666666666667
3387,0,0.9066666666666666
3388,0,0.5833333333333334
3390,0,0.9233333333333333
3391,0,0.6366666666666667
